gene_code,T_cac14,T_cac5,T_cac10,T_cac13,T_cac16,T_cac4,T_cac9,T_cac8,T_cac3,T_cac6,T_cac2,T_cac7,T_cac11,T_cac12,T_cac1
ENSG00000174899,2,2,3.000001754,0,3.0000042,1,5,0,1,3,8,25,26,8.000002,9.00001
ENSG00000158104,12.65966,6,11.8379,8.55048,14,12.7816,13.0792,4,27.1697,16,15.6592,9.27122,12.6704,18,4.93875
ENSG00000006659,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
ENSG00000233276,1497.9985,1170.089,1330.7207,806.1413,1785.0738,1597.658,1278.947,963.0004,1391.3497,651.5457,1386.6481,1388.999,810.0787,1161.964,1746.1695
ENSG00000205189,2182.0046,384.9999,2405.0028,2214.9982,1490.9997,1848.0003,2213.9966,1956.00247,2965.9998,1611.9989,2029.0018,336.00045,570.99964,1142.9993,1352.0004
ENSG00000075711,3886.72554,646.22716,5013.30261,3139.053301,3934.85536,2939.54342,3302.0636,4679.80935,4845.83369,1819.24342,4756.07155,3172.9695,2424.79847,3742.5142,4646.30603
ENSG00000160097,29.50033,8.31664,18.59977,10,29.02172,22.47714,23.82505,22,21.63633,10.55162,22.91031,11.167774,29.49842,25.0164,24.61402
ENSG00000165029,9444.602,2431.6968,5935.7259,3272.7382,6779.9041,6113.5281,4378.1843,7791.681,7765.1433,3369.1223,8905.0272,6137.5295,2647.9987,6232.4904,11005.972
ENSG00000171813,571.0004,364.0001,404.00009,339.00023,688.9998,509.9996,624.0003,280,393.00015,367.5349,380.0004,397.99984,333.0001,853,371.99969
ENSG00000196611,1461,143,13088,27,451,4362,2220.99,809,72,213,8654,5847,1170.97,272.997,5899
ENSG00000169223,3650.379001,1041.2459,3088.827,1481.805169,3656.658,2242.274,3068.362,1862.0013,2162.55,1620.579,2004.7397,2208.4522,2439.565,2501.248,3752.175
ENSG00000179271,524,490,633,208,732,588,470,236,365,243,303,387,437,617,466
ENSG00000198826,759.3199,392.7916,1892.5385,850.89515,1134.2555,829.1072,836.6291,1443.497,961.1103,598.97937,666.28353,2344.1564,1000.73456,1640.8419,1248.7618
ENSG00000163939,4824.632603,1388.87862,6025.57248,4820.56513,5091.910165,3332.173256,5065.981489,6109.10863,4597.828098,2416.101789,6735.65864,5055.615205,3885.84093,4994.142171,5603.707911
ENSG00000135709,366.7724,172.46719,354.13315,465.64833,568.725,373.56653,302.14636,386.3276,296.18749,193.71365,586.6598,429.77098,307.03044,1269.9516,414.3649
ENSG00000148965,4,1,9,11,3,10,4,0,11,16,1,2,41,11,1
ENSG00000112787,947.8451,1613.887,1109.387,855.8847,1512.639,1631.786,1437.592,669.2281,1122.146,846.676,740.5184,743.8692,1018.0909,1643.598,1371.454
ENSG00000140481,33,14.00003,5,37.0393,2,5,18.7249,2,8,7,13.93323,0,20,5.16416,3
ENSG00000186638,348.9998603,173.0000004,747.0004,206.99998,604.9999843,290.00005,250.0003034,419.9999189,513.999583,150.99997,379.0001745,529.000118,330.00006,389.0001144,462.000075
ENSG00000105357,17616.837,17793.95501,19961.12284,9997.4804,33387.1343,21104.339,25355.786,17650.311,14873.54137,13451.815,11210.087,15774.727,12301.7157,25602.974,32277.026
ENSG00000256660,0,0,1,5,1,1,3,2.24698,2,3,5,0,0,8,6.46814
ENSG00000106025,971.53001,70.00000017,583,957.00031,275.2738,252.95948,651.99954,544.65571,506.59974,710.50623,522.9007,721.1751,225.5963,430.7178,470.65691
ENSG00000221933,7.04915,1,3,1.01087,2.00182,1,1.00722,3.0147,1,0,1.00525,0,2,1.00613,1.00156
ENSG00000131018,2771.442763,823.3041627,2159.814038,2417.079202,1098.235801,2432.839785,1902.30535,3898.404559,2721.48151,1406.41311,5887.343999,2864.852543,1776.829448,2301.17808,3673.59963
ENSG00000131831,156,53,115.0000002,74,269.0006,377.0002,183.0001,184.000021,223,65.99999,322,162.0000887,485.999,205.9999,286.0007
ENSG00000103227,730.3365,282.29764,266.49957,223.43662,153.0582,361.38777,304.31735,133.16159,322.4744,328.50739,255.34776,157.91012,380.8827,455.42026,302.65147
ENSG00000197992,11.539,3,16,9.77694,4,3.54408,14.5905,16.6904,5,9,17.2291,14.7409,9.63978,23,7.47755
ENSG00000100448,14,13,82.6911,5,16,68,39.9974,91.6585,20,1,67,76.7356,56,14,22
ENSG00000215440,1526.637,606.708,1181.9061,400.3076,1837.2048,2046.1199,1030.758,425.8053,1062.682,1102.3662,586.6322,553.403,462.3075,1093.433,895.2472
ENSG00000138463,125.425,25.5297,183.138,66.4058,137.754,85.9334,81.6295,71.8511,107.294,62.2101,122.547,93.9356,124.91,146.163,143.945
ENSG00000170324,23.76799,57.59502,0,0,0,0,2.321,6.65536,0,0,0,5.47403,68.6817,5.43943,7.23291
ENSG00000171097,225.58575,70.97676,97.36081,114.08493,162.83933,113.7844,196.62666,105.70505,94.7675,84.93896,124.3293,114.9389,98.62226,94.91918,133.76824
ENSG00000156265,130.4154,30.99989,86.08007,170.13145,182.5704,111.84415,64.128332,112.8694,93.34241,60.44387,125.76176,154.46731,115.65106,142.86569,131.11462
ENSG00000186141,931.6595,194.7724,621.4455,593.1175,476.0094,467.0152,536.6864,930.0107,590.9528,368.5547,631.8335,476.8935,343.3255,506.6999,697.0422
ENSG00000272104,15.6258,5.86328,13.8936,12.5,24.6863,4.71235,9.26149,7.4133,21.632,3.73667,19.8658,24.2683,14.5863,14.7528,11.2801
ENSG00000136274,317.916,128,372,73,272,310,255.903,358,439,96,448.739,131,202,244,571
ENSG00000176236,5,7,15,2.03146,4,4,4,5,8,6,3,7,6,4,0
ENSG00000182611,2004.96,1785.43,4366.12,964.701,4293.01,3080.87,2229.04,1953.6,2038.52,2105.71,1025.49,2332.81,2230.31,3335.5,3057.05
ENSG00000136114,322.0231,39,118.57598,80.7809,135.17,142.9839,131.5423,135.25565,163.3926,62.2784,284.7125,137.8673,75.4507,124.847,188.857
ENSG00000136169,1899.99811,178.0002,1146,929,1218,724.0008,1445.998,1232.99976,1535.001,1070,1132,685,743,860,1137
ENSG00000231738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157828,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000111269,886.644,142.749,338.36,455.346,488.652,276.952,351.608,532.226,434.901,255.877,564.643,439.75,309.615,389.983,475.81
ENSG00000253729,9153.3804,4530.35158,11508.53808,3377.60759,8827.17758,9297.04998,7974.2892,2412.32831,10131.41477,6608.84008,5143.2708,4029.4378,6008.36839,8479.5854,3853.80061
ENSG00000169976,584,490,640,484,856,577,692,604,553,304,816,768,430,714,656
ENSG00000165392,2331.34,754.309,1344.35,3873.3,2450.69,869.432,3293.07,2400.24,1259.17,821.056,2761.8,1980.08,1585.41,2519.1,2000.67
ENSG00000198690,1577.969,469.01601,1360.32592,2194.3174,991.99128,1243.761804,1383.51812,1334.23997,1244.9919,679.5996,1305.33579,1451.02468,728.1708,1593.0552,1192.41169
ENSG00000167910,3,0,0,0,3,0,3,5,2,21,3,0,2,2,1
ENSG00000215186,0,0,18.2017,0,4.83444,8.86817,8.71043,9.12931,8.95765,10.8023,17.2807,15.0536,39.1508,37.0121,19.8222
ENSG00000168386,3296.00083,757.9997,5729.9921,2038.00015,2133.99986,2697.0037,3320.00096,6219.00379,5041.00211,2710.00001,10498.99979,3820.0026,2054.99775,2682.00078,7436.0043
ENSG00000004455,2169.20241,1630.483,3331.47578,1917.53887,3529.738,2377.70969,2619.45879,2170.57107,1629.004,1115.70118,2290.12235,2909.53,1458.2405,2558.30342,2448.87251
ENSG00000156413,1829.3773,971.67127,1030.64923,1294.07304,2725.1441,1993.6626,352.13673,631.68036,2027.87786,1262.04665,1195.65979,1348.84933,1194.67429,1500.30093,910.352
ENSG00000141556,2555.29382,1381.07786,2696.15201,1226.65685,3138.48732,1905.879996,2432.29866,1551.68178,2824.1921,1677.075825,1688.313638,2580.82013,1391.492302,2166.49906,1811.00132
ENSG00000065357,579.11665,45.2469,387.04389,440.71437,232.5442,94.98055,440.65351,733.0298,93.01623137,100.3215,422.76894,289.18859,232.86047,322.030746,699.72058
ENSG00000180398,548.97578,16.59245,428.09529,210.2996,350.96182,188.43497,245.77827,383.31203,330.48347,235.80233,430.72351,356.0734065,206.30964,236.66631,393.1852706
ENSG00000149600,628.96,187.3604,700.1563,200.069,530.2628,611.7079,393.4167,483.1337,561.6863,387.929,312.455,273.9528,269.3923,495.6683,450.029
ENSG00000127452,178.63807,100.03887,140.18355,62.86313,207.37789,159.25947,136.7061,78.90591,121.44883,75.63563,87.85506,86.21134,69.11646,129.81183,125.07944
ENSG00000122126,2099.42,500.346,2498.352,1863.699,2882.902,1927.947,1718.553,2314.444,1919.191,1255.905,2440.114,1511.568,1263.325,1804.819,2675.801
ENSG00000130956,684.093,206,457.45489,275.401,813.87889,553.91571,546.31252,520.61,619.15766,292.37942,595.52389,273.06,256.657,468.6797,798.40557
ENSG00000143476,749.18,205.3574,842.769,248.4498,648.623,313.539,394.0543,723.965,390.8677,266.8582,417.7994,824.408,546.0761,542.4048,623.6704
ENSG00000075240,3032.72927,759.71492,1850.20973,1225.88598,4872.3165,2552.00109,2107.4283,1933.02113,1987.99534,1779.1476,1549.31682,2301.34675,1364.17128,2126.57689,1759.00376
ENSG00000166839,123.9588,79.1782,105.8754,32.7243,79.6995,151.35682,176.60206,93.64418,95.0061,41.7394,136.4654,90.72092,72.932,115.99002,133.2685
ENSG00000163710,6.66472,28.7488,0,7.83683,8.90427,10.3274,0.126013,25.22441,10.0512,0,9.03551,0,6.39777,0,17.04286
ENSG00000214367,889.653,189.17407,780.5583,793.1196,768.3532,526.1076,696.7234,946.7394,739.6324,290.53251,1083.1018,772.2651,615.8283,781.874,802.2484
ENSG00000006377,7,1,51.00004,25,3,2.9999983,78.9802,0,4,0,0,1,0,105.56799,2.9999987
ENSG00000187600,5,0,0,1,0,0,3,1,3,0,0,1,1,2,2
ENSG00000163815,124,104.981,93,149,125,177,179,216,106.392,147,79.7835,123,159,165,103
ENSG00000160131,174.281,14.1455,221.18866,60.66988,165.43598,162.544,173.23127,154.13823,152.656,90.59261,163.74973,108.523,110.96637,151.466,221.483
ENSG00000102921,584.827,104.318,447.543,199.528,555.677,303.68,369.328,335.144,339.842,146.393,350.193,283.9411,246.583,403.612,584.711
ENSG00000102802,77.00002,18,194.0002,11.00004,32,107,101,164.9999,199.9995,20.00004,401.9997,75,68,27.99998,379
ENSG00000151500,447.5082007,191.8955,618.676,565.1465,674.632,515.698,754.807,551.5288,455.109,190.5278,706.775,606.5655,375.1252,499.2269,511.2779
ENSG00000070614,2165.901,657.4297,2005.545,572.4825,1420.445,1663.5149,1499.597,1463.12,1746.915,915.069,1982.764,1419.003,998.06434,1677.84433,2468.41
ENSG00000215475,18,2,4,2,6,2,3,5,0,2,3,1,1,2,1
ENSG00000196976,224.9996,100,236.9997,79,335.9996,253.9996,139.99967,190.0004,156.99967,88,157,138.0001,131,176.0002,197.0736
ENSG00000161609,0,0,1,0,2.17026,0,0,0,1.191620031,0,0,0,8.06053,0,3.0000012
ENSG00000030419,100.45418,38.46250001,88.4198,256.08669,96.51648,111.05662,130.24256,227.93018,152.38176,22.02556,273.3192,121.831501,124.904984,160.82318,220.78991
ENSG00000037042,723.231,260.764,579.13,332.439,722.712,596.556,722.128,548.354,788.39,396.073,723.474,394.385,601.077,620.374,937.496
ENSG00000084754,6495.264,2772.001,8083.1942,5485.00316,10161.707,4137.9937,6997.4377,6110.5723,5628.10102,4082.64,6934.1902,6511.4755,3807.9969,7005.3202,7230.994
ENSG00000166509,2.5834,4.99554,0,0,0,0,0,0,0,0,0,0,0,0,1.30654
ENSG00000184659,47.1437,107.098,15.587,54.1196,34.3004,14.7731,28.5127,47.0628,88.8916,40.0168,41.653,65.2103,54.8805,66.5754,40.5574
ENSG00000135423,4.21493,0,0,0,0,0,1.46E-07,0.421152,0,0,0,6.32995,0,1.81904,3.3429
ENSG00000101421,6477.6,1567.82,6791.51,2716.68,7738.19,6454.13,5163.44,4694.54,6805.75,4516.38,4356.39,3810.55,2528.11,5317.46,6087.46
ENSG00000128683,78.69138,17.15634,1.68969,32.40644,9.07353,0,8.69696,19.96096,5.48759,7.95315,1,32.77664,31.78351,12.56719,43.98292
ENSG00000205678,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
ENSG00000160075,1615.9891,1141.68925,1612.1744,1299.7686,2175.1519,1743.6827,1010.806,1375.2953,2081.5538,875.585,2062.0323,1312.2842,1441.5776,1898.7097,1743.4832
ENSG00000152455,409.07732,92.50786,720.80463,373.60012,551.27773,213.22587,358.71393,588.4486,393.66515,220.56316,672.99262,467.94882,334.43747,459.24641,421.08226
ENSG00000158246,61,19,4,4,9,21,15,17,7,3,56,38,17,34,12
ENSG00000181744,212.5653,160.4735,333.878,226.3431,309.411,196.9643,240.4652,369.91708,254.8347,112.4978,406.9713,330.5076,220.7197,298.4484,350.7153
ENSG00000204952,4,0,3,0,2,0,0,0,0,1,4,1,1,1,0
ENSG00000180071,1095.85,149.46316,872.4376,1197.6816,2485.85558,881.34809,1133.206582,274.391,623.40433,370.55752,816.96043,1170.3055,1878.407024,917.34515,594.84625
ENSG00000140740,3728.92994,474.351,2743.35,2404.26,4824.95,1980.809,3205.97,2170.05,2862.08,1881.148,2991.27,2703.6,1595.95,3503.69,3277.64
ENSG00000137434,10.0000021,0,6.999995,0,10.000004,8,10,2,7.35039,19,7,6.0724,7.9753,12.6046,7.444
ENSG00000196581,13,16,13,6,5.29711,26.06292,15.00686,16,18,12,28.98567,26,21.00001,42.99996,34.99996
ENSG00000111780,143.272,85.7913,339.128,108.65,196.525,154.505,165.154,143.647,141.943,101.661,130.435,149.236,100.174,173.628,217.495
ENSG00000064042,1273.61364,434.97863,1050.58986,1854.262551,544.3096967,467.78264,804.3822588,1518.793323,1334.2357,482.71968,1261.99805,1100.8359,798.654,437.61229,1910.6893
ENSG00000169032,631.243,230.6903,578.703,394.186,383.017,563.526,494.907,709.282,546.15,224.378,613.493,608.125,355.906,415.294,672.148
ENSG00000196639,337.00045,81.99998,300.00355,361.99967,316.99967,236.99957,321.99992,364.99956,215.0005,78,481.00429,169.99966,236.00035,145.00036,354.00049
ENSG00000103591,765.35414,187.51828,1043.1006,613.5864,543.96448,550.1117,624.6977,1137.21741,846.51084,448.5322,745.1568,974.806,624.3849,696.34857,1204.6997
ENSG00000206190,900.06827,310.795,481.15192,190.99972,266.0003,597.99971,427.762,740.53127,930.17185,214.459,955.5126,469.26091,226.64246,446.73676,1010.28946
ENSG00000227059,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000170892,6.287083894,3.274274,3.50975,1.382191,66.09371299,82.54235,0.896687,0,4.04275,0.491144,16.11258021,3.563659,0.331821,4.0909,2.32766
ENSG00000180871,46.42476,19.00001,63,10.07523,29.00002,95.68668,25.89832,35.00001,28.589658,39.63177393,82.2466,114.5618,52,71.5638,93
ENSG00000118620,195.423,28.38638,96.9734,139.7624,96.7228,60.6415,94.3883,128.543,112.961,65.1744,123.6737,93.528,68.26887,92.2715,97.3616
ENSG00000182511,263.3144,137.04519,165.9611901,148.8406801,122.1235617,257.8659383,289.4396,251.16192,279.2926002,106.192284,316.7452,259.5017318,309.64243,291.9594628,389.490607
ENSG00000185340,248.12175,245.45772,298.71892,85.6657,342.09175,257.1109411,204.13922,163.1002051,210.4374354,108.2151,232.48937,798.62475,374.3638,566.11647,412.55488
ENSG00000173372,1083.9995,803,720.0003,579,850,1453.999,703.0003,1549.9993,1567.001,822.0001,1327.0003,1943.9962,918.9997,1827.003,1630.0027
ENSG00000122543,13,4.64483,6,18,12,8,6,13,9,2,9,7,16,11,9
ENSG00000111247,156.02146,8.34152,177.4292915,71.49919,152.58541,90.27583,71.8335,120.124625,102.9646,68.6289,145.97965,182.6834,54.3418068,88.987288,150.2051
ENSG00000167771,149.162,159.835,128.453,70.1399,219.009,66.0942,171.855,36.8755,52.9698,55,83.7214,130.002,79.0183,152.712,69.8764
ENSG00000253276,73.3827,66.7943,80.1173,26.3436,69.857,96.5898,79.9535,39.9483,75.1919,69.9747,48.756,49.006,26.3276,33.8078,80.0108
ENSG00000170231,142.5654,81.514,123.086,9.76398,91.7337,65.40320008,227.1104,21.72863,98.9502,8.92385,178.1575,23.9998,3.32732,2.35746,101.9813
